iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older
IRQ,Asia,Iraq,40222503,88.125,20,3.186,1.957
ISL,Europe,Iceland,341250,3.404,37.3,14.431,9.207
ISR,Asia,Israel,8655541,402.606,30.6,11.733,7.359
ITA,Europe,Italy,60461828,205.859,47.9,23.021,16.24
JAM,North America,Jamaica,2961161,266.879,31.4,9.684,6.39
JEY,Europe,Jersey,101073,NA,NA,NA,NA
JOR,Asia,Jordan,10203140,109.285,23.2,3.81,2.361
JPN,Asia,Japan,126476458,347.778,48.2,27.049,18.493
KAZ,Asia,Kazakhstan,18776707,6.681,30.6,6.991,4.625
KEN,Africa,Kenya,53771300,87.324,20,2.686,1.528
KGZ,Asia,Kyrgyzstan,6524191,32.333,26.3,4.489,2.882
KHM,Asia,Cambodia,16718971,90.672,25.6,4.412,2.385
KNA,North America,Saint Kitts and Nevis,53192,212.865,NA,NA,NA
KOR,Asia,South Korea,51269183,527.967,43.4,13.914,8.622
KWT,Asia,Kuwait,4270563,232.128,33.7,2.345,1.114
LAO,Asia,Laos,7275556,29.715,24.4,4.029,2.322
LBN,Asia,Lebanon,6825442,594.561,31.1,8.514,5.43
LBR,Africa,Liberia,5057677,49.127,19.2,3.057,1.756
LBY,Africa,Libya,6871287,3.623,29,4.424,2.816
LCA,North America,Saint Lucia,183629,293.187,34.9,9.721,6.405
LIE,Europe,Liechtenstein,38137,237.012,NA,NA,NA
LKA,Asia,Sri Lanka,21413250,341.955,34.1,10.069,5.331
LSO,Africa,Lesotho,2142252,73.562,22.2,4.506,2.647
LTU,Europe,Lithuania,2722291,45.135,43.5,19.002,13.778
LUX,Europe,Luxembourg,625976,231.447,39.7,14.312,9.842
LVA,Europe,Latvia,1886202,31.212,43.9,19.754,14.136
MAR,Africa,Morocco,36910558,80.08,29.6,6.769,4.209
MCO,Europe,Monaco,39244,19347.5,NA,NA,NA
MDA,Europe,Moldova,4033963,123.655,37.6,10.864,6.955
MDG,Africa,Madagascar,27691019,43.951,19.6,2.929,1.686
MDV,Asia,Maldives,540542,1454.433,30.6,4.12,2.875
MEX,North America,Mexico,128932753,66.444,29.3,6.857,4.321
MKD,Europe,Macedonia,2083380,82.6,39.1,13.26,8.16
MLI,Africa,Mali,20250834,15.196,16.4,2.519,1.486
MLT,Europe,Malta,441539,1454.037,42.4,19.426,11.324
MMR,Asia,Myanmar,54409794,81.721,29.1,5.732,3.12
MNE,Europe,Montenegro,628062,46.28,39.1,14.762,9.395
MNG,Asia,Mongolia,3278292,1.98,28.6,4.031,2.421
MNP,Oceania,Northern Mariana Islands,57557,119.878,NA,NA,NA
MOZ,Africa,Mozambique,31255435,37.728,17.7,3.158,1.87
MRT,Africa,Mauritania,4649660,4.289,20.3,3.138,1.792
MSR,North America,Montserrat,4999,NA,NA,NA,NA
MUS,Africa,Mauritius,1271767,622.962,37.4,10.945,5.884
MWI,Africa,Malawi,19129955,197.519,18.1,2.979,1.783
MYS,Asia,Malaysia,32365998,96.254,29.9,6.293,3.407
NAM,Africa,Namibia,2540916,3.078,22,3.552,2.085
NCL,Oceania,New Caledonia,285491,15.342,33.4,9.954,6.489
NER,Africa,Niger,24206636,16.955,15.1,2.553,1.378
NGA,Africa,Nigeria,206139587,209.588,18.1,2.751,1.447
NIC,North America,Nicaragua,6624554,51.667,27.3,5.445,3.519
NLD,Europe,Netherlands,17134873,508.544,43.2,18.779,11.881
NOR,Europe,Norway,5421242,14.462,39.7,16.821,10.813
NPL,Asia,Nepal,29136808,204.43,25,5.809,3.212
NZL,Oceania,New Zealand,4822233,18.206,37.9,15.322,9.72
OMN,Asia,Oman,5106622,14.98,30.7,2.355,1.53
OWID_KOS,Europe,Kosovo,1932774,168.155,NA,NA,NA
OWID_WRL,,World,7794798729,58.045,30.9,8.696,5.355
PAK,Asia,Pakistan,220892331,255.573,23.5,4.495,2.78
PAN,North America,Panama,4314768,55.133,29.7,7.918,5.03
PER,South America,Peru,32971846,25.129,29.1,7.151,4.455
PHL,Asia,Philippines,109581085,351.873,25.2,4.803,2.661
PNG,Oceania,Papua New Guinea,8947027,18.22,22.6,3.808,2.142
POL,Europe,Poland,37846605,124.027,41.8,16.763,10.202
PRI,North America,Puerto Rico,2860840,376.232,38.2,15.168,9.829
PRT,Europe,Portugal,10196707,112.371,46.2,21.502,14.924
PRY,South America,Paraguay,7132530,17.144,26.5,6.378,3.833
PSE,Asia,Palestine,5101416,778.202,20.4,3.043,1.726
PYF,Oceania,French Polynesia,280904,77.324,32.7,7.775,4.593
QAT,Asia,Qatar,2881060,227.322,31.9,1.307,0.617
ROU,Europe,Romania,19237682,85.129,43,17.85,11.69
RUS,Europe,Russia,145934460,8.823,39.6,14.178,9.393
RWA,Africa,Rwanda,12952209,494.869,20.3,2.974,1.642
SAU,Asia,Saudi Arabia,34813867,15.322,31.9,3.295,1.845
SDN,Africa,Sudan,43849269,23.258,19.7,3.548,2.034
SEN,Africa,Senegal,16743930,82.328,18.7,3.008,1.796
SGP,Asia,Singapore,5850343,7915.731,42.4,12.922,7.049
SLE,Africa,Sierra Leone,7976985,104.7,19.1,2.538,1.285
SLV,North America,El Salvador,6486201,307.811,27.6,8.273,5.417
SMR,Europe,San Marino,33938,556.667,NA,NA,NA
SOM,Africa,Somalia,15893219,23.5,16.8,2.731,1.496
SRB,Europe,Serbia,6804596,80.291,41.2,17.366,NA
SSD,Africa,South Sudan,11193729,NA,19.2,3.441,2.032
STP,Africa,Sao Tome and Principe,219161,212.841,18.7,2.886,2.162
SUR,South America,Suriname,586634,3.612,29.6,6.933,4.229
SVK,Europe,Slovakia,5459643,113.128,41.2,15.07,9.167
SVN,Europe,Slovenia,2078932,102.619,44.5,19.062,12.93
SWE,Europe,Sweden,10099270,24.718,41,19.985,13.433
SWZ,Africa,Swaziland,1160164,79.492,21.5,3.163,1.845
SXM,North America,Sint Maarten (Dutch part),42882,1209.088,NA,NA,NA
SYC,Africa,Seychelles,98340,208.354,36.2,8.606,5.586
SYR,Asia,Syria,17500657,NA,21.7,NA,2.577
TCA,North America,Turks and Caicos Islands,38718,37.312,NA,NA,NA
TCD,Africa,Chad,16425859,11.833,16.7,2.486,1.446
TGO,Africa,Togo,8278737,143.366,19.4,2.839,1.525
THA,Asia,Thailand,69799978,135.132,40.1,11.373,6.89
TJK,Asia,Tajikistan,9537642,64.281,23.3,3.466,2.155
TLS,Asia,Timor,1318442,87.176,18,3.556,1.897
TTO,North America,Trinidad and Tobago,1399491,266.886,36.2,10.014,5.819
TUN,Africa,Tunisia,11818618,74.228,32.7,8.001,5.075
TUR,Asia,Turkey,84339067,104.914,31.6,8.153,5.061
TWN,Asia,Taiwan,23816775,NA,42.2,NA,8.353
TZA,Africa,Tanzania,59734213,64.699,17.7,3.108,1.874
UGA,Africa,Uganda,45741000,213.759,16.4,2.168,1.308
UKR,Europe,Ukraine,43733759,77.39,41.4,16.462,11.133
URY,South America,Uruguay,3473727,19.751,35.6,14.655,10.361
USA,North America,United States,331002647,35.608,38.3,15.413,9.732
UZB,Asia,Uzbekistan,33469199,76.134,28.2,4.469,2.873
VAT,Europe,Vatican,809,NA,NA,NA,NA
VCT,North America,Saint Vincent and the Grenadines,110947,281.787,31.8,7.724,4.832
VEN,South America,Venezuela,28435943,36.253,29,6.614,3.915
VGB,North America,British Virgin Islands,30237,207.973,NA,NA,NA
VIR,North America,United States Virgin Islands,104423,306.48,42.2,18.601,10.799
VNM,Asia,Vietnam,97338583,308.127,32.6,7.15,4.718
YEM,Asia,Yemen,29825968,53.508,20.3,2.922,1.583
ZAF,Africa,South Africa,59308690,46.754,27.3,5.344,3.053
ZMB,Africa,Zambia,18383956,22.995,17.7,2.48,1.542
ZWE,Africa,Zimbabwe,14862927,42.729,19.6,2.822,1.882
